count,value
43,Receptor-Receptor Interactions
21,Software-Ergonomie ’87 Nützen Informationssysteme dem Benutzer?
12,Ergonomics and Human Factors
6,Empirical Foundations of Information and Software Science IV
6,Visualization in Programming
3,Empirical Foundations of Information and Software Science III
3,GI — 17. Jahrestagung Computerintegrierter Arbeitsplatz im Büro
2,Author Languages for CAL
2,ECTJ
2,ESEC '87
2,Information Systems: Failure Analysis
2,Instructional Science
2,Wissensbasierte Systeme
1,Bulletin of the Psychonomic Society
1,Buying Equipment and Programs for Home or Office
1,Computer-Based Instruction in Military Environments
1,Denkzeuge
1,ECOOP’ 87 European Conference on Object-Oriented Programming
1,Expert Judgment and Expert Systems
1,Expertensysteme ’87 Konzepte und Werkzeuge
